Frame,Agent_Type,Agent_ID,X,Y
10,Sheep,12,154.587449758337,79.33848229250482
10,Sheep,13,163.00772882514474,65.14829693979577
10,Sheep,14,154.28869246459487,86.08660225011232
10,Sheep,15,170.67246355318565,76.34601308353673
10,Sheep,16,168.1673020647848,65.35539260733522
10,Sheep,17,148.52849101322434,75.30891016865847
10,Sheep,18,184.9422426882344,59.51599276556971
10,Sheep,19,167.97442958972707,72.6349152293538
11,Dog,0,149.38320852165052,132.94297861263843
11,Sheep,0,168.96616224187022,75.84147487663304
11,Sheep,1,164.98345532480735,74.21594601062759
11,Sheep,2,161.5685948908257,83.30322947342995
11,Sheep,3,179.5645888986986,71.59489015480386
11,Sheep,4,162.94522729941136,68.38714435152785
11,Sheep,5,182.5273336541532,90.01904645094764
11,Sheep,6,165.08742509850484,71.93459942911136
11,Sheep,7,182.33581510729596,55.889825489298204
11,Sheep,8,180.19511059708557,86.93924551737827
11,Sheep,9,170.2558694740539,76.36768877247637
11,Sheep,10,168.02426705582104,72.54778537175831
11,Sheep,11,160.00674822474429,81.50816858291263
11,Sheep,12,155.4279902198051,78.79673490623678
11,Sheep,13,163.5800464759833,65.96832790551838
11,Sheep,14,154.9396820512459,85.32751650611107
11,Sheep,15,170.26838240577712,75.43129092464467
11,Sheep,16,168.16986301071685,66.35538843330106
11,Sheep,17,149.50334773419806,75.08608076544499
11,Sheep,18,184.16543078035912,60.145724320921346
11,Sheep,19,168.2117611791509,72.74382895969761
12,Dog,0,150.22313368849356,131.95074592112718
12,Sheep,0,168.9285407403956,74.84218371896743
12,Sheep,1,165.77582379815414,73.60590469752168
12,Sheep,2,162.05464723770797,82.42930064654803
12,Sheep,3,178.5663712687147,71.65455498544026
12,Sheep,4,163.75671775412283,68.9715084994233
12,Sheep,5,181.98788675984633,89.17702764490673
12,Sheep,6,166.08477383480346,72.00735682494357
12,Sheep,7,181.7008417885494,56.66235863802416
12,Sheep,8,179.65681759091547,86.09648861929571
12,Sheep,9,169.97632026215277,75.4075583389852
12,Sheep,10,168.62704893901946,71.74988055980992
12,Sheep,11,160.61653549432884,80.71560442514624
12,Sheep,12,156.26425527425897,78.24841087726757
12,Sheep,13,164.17383150316203,66.77295054079886
12,Sheep,14,155.58846373819932,84.5665428417367
12,Sheep,15,169.88489341053122,74.5077464654628
12,Sheep,16,168.18755444479376,67.35523101051986
12,Sheep,17,150.47550345543362,74.85174808005097
12,Sheep,18,183.38467405510076,60.77055828286116
12,Sheep,19,168.46907432265485,72.80895724064061
13,Dog,0,151.06215453289772,130.9577484273462
13,Sheep,0,168.90452755012222,73.84247299141096
13,Sheep,1,166.56060383774857,72.98613178054734
13,Sheep,2,162.5399824131341,81.554973345151
13,Sheep,3,177.5669641590636,71.68896029689066
13,Sheep,4,164.58884876098233,69.52608597036844
13,Sheep,5,181.46013220147736,88.32763154573207
13,Sheep,6,167.08419143197767,72.04145346644557
13,Sheep,7,181.0633797239358,57.432839441955615
13,Sheep,8,179.13141846252537,85.24563358473874
13,Sheep,9,169.71590555016294,74.44206242190576
13,Sheep,10,169.2251492567977,70.9484605248215
13,Sheep,11,161.22403252854636,79.9212834601098
13,Sheep,12,157.09591762883798,77.69313059297167
13,Sheep,13,164.79177052168512,67.55917543076202
13,Sheep,14,156.23491866018978,83.80359158803019
13,Sheep,15,169.52438259635147,73.57499242167387
13,Sheep,16,168.22313862274942,68.35459675206305
13,Sheep,17,151.44463874758597,74.60522156296919
13,Sheep,18,182.59950341720216,61.3898365595975
13,Sheep,19,168.74478976898257,72.82219358062294
14,Dog,0,151.90020234257108,129.9639295964209
14,Sheep,0,168.89559134159663,72.84251384570122
14,Sheep,1,167.3369275711447,72.35579883836976
14,Sheep,2,163.02458719351154,80.68024101271794
14,Sheep,3,176.56698109429465,71.69462890760629
14,Sheep,4,165.44316542052667,70.04583706222182
14,Sheep,5,180.94474273640324,87.47067630059031
14,Sheep,6,168.0841471478293,72.03214457127011
14,Sheep,7,180.42307531270427,58.200959734714424
14,Sheep,8,178.6197091733361,84.38647578694795
14,Sheep,9,169.47660673896686,73.47111739569915
14,Sheep,10,169.81805859918094,70.14319252647887
14,Sheep,11,161.82909286382895,79.12510482657925
14,Sheep,12,157.92261955369045,77.13049182991449
14,Sheep,13,165.43683378241386,68.3233034053268
14,Sheep,14,156.8789121534782,83.03856155671664
14,Sheep,15,169.1894680177462,72.63274492013892
14,Sheep,16,168.2800343096543,69.35297591354788
14,Sheep,17,152.41039472180472,74.34577229877081
14,Sheep,18,181.8093689844925,62.00276890662261
14,Sheep,19,169.03706561922905,72.77624092345718
15,Dog,0,152.73719627645394,128.96922302931517
15,Sheep,0,168.90333504533876,71.84254476580995
15,Sheep,1,168.1038157871234,71.71401959351891
15,Sheep,2,163.50843692312455,79.80509081426777
15,Sheep,3,175.56734886180826,71.66754332393471
15,Sheep,4,166.3210023719434,70.52479468845549
15,Sheep,5,180.44241970613604,86.60599708148968
15,Sheep,6,169.08247254998045,71.97431329733595
15,Sheep,7,179.77949940593854,58.96634104093315
15,Sheep,8,178.122523262168,83.5188326159714
15,Sheep,9,169.26059465341,72.49472765758722
15,Sheep,10,170.40518659769228,69.33369964474275
15,Sheep,11,162.43154795097377,78.32695303802423
15,Sheep,12,158.7439658166976,76.56006326240853
15,Sheep,13,166.11228231022943,69.06070927806478
15,Sheep,14,157.5202908996242,82.2713380829087
15,Sheep,15,168.8830486342828,71.68084930274206
15,Sheep,16,168.3625479815882,70.34956485105745
15,Sheep,17,153.37236565767108,74.07262320889264
15,Sheep,18,181.01362276277405,62.608397837491644
15,Sheep,19,169.3438345286893,72.66474159684546
16,Dog,0,153.57304210334482,127.97355152039815
16,Sheep,0,168.92951720032937,70.8428885262518
16,Sheep,1,168.86015619598805,71.05984278342223
16,Sheep,2,163.9914937596804,78.92950272186359
16,Sheep,3,174.56943075973464,71.6030634328487
